BranchCode BranchName,Address,ZIPCode,PhoneNumber
RBN01 Foothill,830 Foothill Blvd,CA 92376,(909) 555-0101
RBN02 Ocean,5678 Ocean Ave,CA 90401,(310) 555-0102
RBN03 Western,25937 S Western Ave,CA 90717,(310) 555-0103
RBN04 Elm,1122 Elm St,CA 90266,(310) 555-0104
RBN05 Pine,3344 Pine Ave,CA 90802,(562) 555-0105
RBN06 Long Beach,3900 Long Beach Blvd,CA 90807,(562) 555-0106
RBN07 Oak,7788 Oak St,CA 91709,(909) 555-0107
RBN08 Birch,9900 Birch Rd,CA 91302,(818) 555-0108
RBN09 Walnut,2233 Walnut Ave,CA 93003,(805) 555-0109
RBN10 Palm,4455 Palm Dr,CA 92262,(760) 555-0110
RBN11 Cypress,6677 Cypress St,CA 92647,(714) 555-0111
RBN12 Redwood,8899 Redwood Ln,CA 91361,(818) 555-0112
RBN13 Spruce,1010 Spruce St,CA 91730,(909) 555-0113
RBN14 Fir,1212 Fir Ave,CA 93010,(805) 555-0114
RBN15 Ash,3434 Ash Blvd,CA 91320,(805) 555-0115
RBN16 Willow,5656 Willow St,CA 92683,(714) 555-0116
RBN17 Vineyard,2295 S Vineyard Ave,CA 91761,(909) 555-0117
RBN18 Chestnut,9090 Chestnut Rd,CA 91344,(818) 555-0118
RBN19 Moorpark,740 N Moorpark Rd,CA 91360,(805) 555-0119
RBN20 Slover,16964 Slover Ave,CA 92337,(818) 555-0120
RBN21 Laurel,6767 Laurel St,CA 91730,(949) 555-0121
RBN22 Hickory,8989 Hickory Dr,CA 91773,(909) 555-0122
RBN23 Dogwood,1111 Dogwood Dr,CA 91350,(661) 555-0123
RBN24 Alder,2222 Alder Ave,CA 93021,(805) 555-0124
RBN25 Juniper,3333 Juniper Ave,CA 91786,(909) 555-0125
RBN26 Rialto,2826 W Rialto Ave,CA 92376,(818) 555-0126
RBN27 Nogales,3650 Nogales St,CA 91792,(626) 555-0127
RBN28 Teak,6666 Teak St,CA 91741,(626) 555-0128
RBN29 5th,38630 5th St W,CA 93551,(661) 555-0129
RBN30 Sequoia,8888 Sequoia Ave,CA 93021,(805) 555-0130
RBN31 Acacia,9999 Acacia Blvd,CA 91765,(909) 555-0131
RBN32 Beech,1213 Beech St,CA 91304,(818) 555-0132
RBN33 Cottonwood,1379 Cottonwood Ave,CA 92582,(951) 555-0133
RBN34 Hazel,1617 Hazel Dr,CA 91745,(626) 555-0134
RBN35 Ramona,14705 Ramona Ave,CA 91710,(909) 555-0135
RBN36 Hamner,3521 Hamner Ave,CA 92860,(805) 555-0136
RBN37 Newhall,20425 Newhall Ave,CA 91321,(626) 555-0137
RBN38 Cardiff,37808 Cardiff St,CA 93550,(661) 555-0138
RBN39 Plum,2627 Plum St,CA 93036,(805) 555-0139
RBN40 Galiceno,224 Galiceno Dr,CA 92582,(951) 555-0140
RBN41/OLD The Old,25259 The Old Rd,CA 91381,(661) 555-0141
RBN43/TMR Tamarack,3435 Tamarack Ave,CA 91789,(909) 555-0143
RBN44/UMB Umbrella,3637 Umbrella Dr,CA 91311,(818) 555-0144
RBN45/THS Thousand Oaks,2401 Thousand Oaks Blvd,CA 91362,(805) 555-0145
RBN46/WIS Wisteria,4041 Wisteria Ave,CA 91792,(909) 555-0146
RBN47/NUY Van Nuys,4336 Van Nuys Blvd,CA 91403,(818) 555-0147
RBN48/MCG McGrath,4445 McGrath St,CA 93003,(805) 555-0148
RBN49/ASP Aspen,4647 Aspen Ave,CA 91791,(626) 555-0149
RBN50/VAL Valley,17305 Valley Blvd,CA 91744,(626) 555-0150
RBN51/DYE Dyer,604 E Dyer Rd,CA 92705,(714) 555-0151
