BranchCode BranchName,Address,ZIPCode,PhoneNumber
RAN01 Hope,400 S Hope St,CA 90071,(213) 555-0101
RAN02 Monte Vista,5214 Monte Vista St,CA 90042,(800) 555-0102
RAN03 20th,822 E 20th St,CA 90011,(213) 555-0103
RAN04 Avalon,3711 Avalon Blvd,CA 90011,(213) 555-0104
RAN05 Figueroa,601 S Figueroa St,CA 90017,(213) 555-0105
RAN06 Wilshire,10840 Wilshire Blvd,CA 90024,(310) 555-0106
RAN07 Broadway,200 N Broadway,CA 90012,(213) 555-0107
RAN08 Spring,312 N Spring St,CA 90012,(213) 555-0108
RAN09 Main,100 S Main St,CA 90012,(213) 555-0109
RAN10 Hill,350 S Hill St,CA 90013,(213) 555-0110
RAN11 Grand,500 S Grand Ave,CA 90071,(213) 555-0111
RAN12 Olive,700 S Olive St,CA 90014,(213) 555-0112
RAN13 Flower,600 Flower St,CA 90017,(213) 555-0113
RAN14 Alameda,1000 N Alameda St,CA 90012,(213) 555-0114
RAN15 San Pedro,400 N San Pedro St,CA 90012,(213) 555-0115
RAN16 Temple,200 W Temple St,CA 90012,(213) 555-0116
RAN17 7th,3200 W 7th St,CA 90005,(213) 555-0117
RAN18 8th,421 W 8th Street,CA 90017,(213) 555-0118
RAN19 9th,400 W 9th St,CA 90015,(213) 555-0119
RAN20 Hewitt,459 S Hewitt St,CA 90013,(213) 555-0120
RAN21 Imperial,2050 Imperial St,CA 90021,(323) 555-0121
RAN22 Exposition,900 Exposition Blvd,CA 90007,(213) 555-0122
RAN23 Vermont,900 S Vermont Ave,CA 90006,(213) 555-0123
RAN24 Santee,1337 Santee St,CA 90015,(213) 555-0124
RAN25 Olympic,199 E Olympic Blvd,CA 90015,(213) 555-0125
RAN27 Arminta,14547 Arminta St E,CA 91402,(213) 555-0127
RAN28 Lakewood,14501 Lakewood Blvd,CA 90723,(562) 555-0128
RAN30 Pacific,6021 Pacific Blvd,CA 90255,(213) 555-0130
RAN32 Rugby,6049 Rugby Ave,CA 90255,(213) 555-0132
RAN34 Slauson,2501 E Slauson Ave,CA 90255,(323) 555-0134
RAN36 Mott,1st N Mott St,CA 90033,(213) 555-0136
RAN37 Cornwell,1106 Cornwell St,CA 90033,(213) 555-0137
RAN38 Western,2825 S Western Ave,CA 90018,(213) 555-0138
RAN39 Crenshaw,4000 Crenshaw Blvd,CA 90008,(323) 555-0139
RAN40 La Brea,5000 S La Brea Ave,CA 90056,(323) 555-0140
RAN41 Fairfax,6000 S Fairfax Ave,CA 90056,(323) 555-0141
RAN42 Sepulveda,7000 S Sepulveda Blvd,CA 90045,(310) 555-0142
RAN43 Manchester,8000 W Manchester Ave,CA 90045,(310) 555-0143
RAN44 Lincoln,9000 S Lincoln Blvd,CA 90045,(310) 555-0144
RAN45 Robertson,10000 S Robertson Blvd,CA 90034,(310) 555-0145
RAN46 Bundy,11000 S Bundy Dr,CA 90049,(310) 555-0146
RAN47 Barrington,12000 S Barrington Ave,CA 90049,(310) 555-0147
RAN48 Sawtelle,13000 S Sawtelle Blvd,CA 90066,(310) 555-0148
RAN49 Overland,14000 S Overland Ave,CA 90064,(310) 555-0149
RAN50 Westwood,15000 S Westwood Blvd,CA 90024,(310) 555-0150
RAN51 Beverly Glen,16000 S Beverly Glen Blvd,CA 90077,(310) 555-0151
RAN52 Laurel Canyon,17000 S Laurel Canyon Blvd,CA 91604,(818) 555-0152
RAN53 Ventura,18000 Ventura Blvd,CA 91316,(818) 555-0153
RAN54 Santa Fe,700 S Santa Fe Ave,CA 90021,(818) 555-0154
RAN55 Cahuenga,20000 Cahuenga Blvd,CA 91601,(818) 555-0155
